epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,4588.01,0.42974,0.18798,0.81435,0.99467,0.99749,0.99496,0.91754,0.44169,0.18279,0.84269,0.0002576,0.0002576,0.0002576
31,4778.61,0.46131,0.21914,0.83285,0.99469,0.99994,0.99497,0.9142,0.45058,0.19978,0.84469,0.000812,0.000812,0.000812
46,4670.14,0.42814,0.18326,0.81284,0.99543,0.99644,0.99499,0.91831,0.44124,0.18378,0.84265,0.000218,0.000218,0.000218
47,4753.13,0.4258,0.18065,0.81432,0.99555,0.99643,0.99496,0.92063,0.44127,0.18143,0.8425,0.0001784,0.0001784,0.0001784
32,4925.86,0.46016,0.21577,0.82544,0.99547,1,0.99499,0.91894,0.45307,0.18932,0.84372,0.0007724,0.0007724,0.0007724
48,4837.3,0.42189,0.17672,0.81202,0.99549,0.99911,0.99499,0.92166,0.43714,0.17526,0.84012,0.0001388,0.0001388,0.0001388
49,4919.51,0.42071,0.17522,0.81179,0.99541,0.99911,0.995,0.92019,0.43863,0.17446,0.84091,9.92e-05,9.92e-05,9.92e-05
33,5071.16,0.45503,0.21058,0.82737,0.99116,0.99824,0.99494,0.91689,0.44911,0.19048,0.84467,0.0007328,0.0007328,0.0007328
50,5001.51,0.41887,0.17352,0.81429,0.99617,0.99911,0.995,0.92082,0.43873,0.17206,0.84053,5.96e-05,5.96e-05,5.96e-05
34,5197.55,0.44848,0.20898,0.82125,0.9954,0.99644,0.99498,0.91915,0.4418,0.19029,0.83883,0.0006932,0.0006932,0.0006932
35,5326.68,0.45575,0.21097,0.82549,0.99555,0.99598,0.99498,0.91878,0.44484,0.19254,0.8408,0.0006536,0.0006536,0.0006536
36,5448.72,0.45023,0.20732,0.8243,0.99468,0.99898,0.995,0.9186,0.44786,0.19579,0.83104,0.000614,0.000614,0.000614
37,5590.37,0.45213,0.20746,0.82117,0.9938,0.99911,0.99496,0.91661,0.44878,0.19346,0.83188,0.0005744,0.0005744,0.0005744
38,5736.74,0.45081,0.20811,0.82112,0.99467,0.99717,0.995,0.91522,0.44162,0.18796,0.82694,0.0005348,0.0005348,0.0005348
39,5882.44,0.44579,0.20605,0.82267,0.99548,0.99822,0.995,0.91935,0.44273,0.18746,0.83673,0.0004952,0.0004952,0.0004952
40,6016.29,0.44342,0.20318,0.82316,0.99733,0.99653,0.995,0.91571,0.44224,0.18181,0.84221,0.0004556,0.0004556,0.0004556
41,6126.6,0.43671,0.19274,0.81652,0.99555,0.99911,0.99499,0.91744,0.44479,0.18823,0.84294,0.000416,0.000416,0.000416
42,6238.25,0.43532,0.19217,0.81703,0.99556,0.99911,0.99499,0.91631,0.44883,0.18976,0.8442,0.0003764,0.0003764,0.0003764
43,6356.63,0.43588,0.19165,0.81525,0.99628,0.99822,0.99489,0.91392,0.44649,0.19002,0.84377,0.0003368,0.0003368,0.0003368
44,6472.1,0.43399,0.19063,0.81798,0.99616,0.99911,0.99479,0.91464,0.4434,0.1864,0.84301,0.0002972,0.0002972,0.0002972
45,6572,0.42974,0.18798,0.81435,0.99467,0.99749,0.99496,0.91754,0.44169,0.18279,0.84269,0.0002576,0.0002576,0.0002576
46,6680.95,0.42814,0.18326,0.81284,0.99543,0.99644,0.99499,0.91831,0.44124,0.18378,0.84265,0.000218,0.000218,0.000218
47,6793.84,0.4258,0.18065,0.81432,0.99555,0.99643,0.99496,0.92063,0.44127,0.18143,0.8425,0.0001784,0.0001784,0.0001784
48,6904.08,0.42189,0.17672,0.81202,0.99549,0.99911,0.99499,0.92166,0.43714,0.17526,0.84012,0.0001388,0.0001388,0.0001388
49,7012.17,0.42071,0.17522,0.81179,0.99541,0.99911,0.995,0.92019,0.43863,0.17446,0.84091,9.92e-05,9.92e-05,9.92e-05
50,7126.91,0.41887,0.17352,0.81429,0.99617,0.99911,0.995,0.92082,0.43873,0.17206,0.84053,5.96e-05,5.96e-05,5.96e-05
